time_sec,bess_connected,lvrt_active,perturbation_active,bus_voltage_kv,bus_frequency_hz,turbine1_power_mw,turbine2_power_mw,turbine1_current_a,turbine2_current_a,turbine1_torque_nm,turbine2_torque_nm,bess_power_mw,bess_voltage_kv,bess_soc_percent,load_power_mw,load_current_a
0.0,1,0,0,13.8113319146898,60.01803033028563,24.706584401826017,24.937476233881167,1032.8006917261055,1042.4525820878846,495841.78009782016,506594.60504355904,1.894442325380049,0.8010775353137319,85.0,50.980881299365,2131.135919657885
0.01,1,0,0,13.796788361934611,59.98481455700791,24.54603716836515,24.96211382406505,1027.1710194376717,1044.5824606274655,499360.2185962499,499615.63342927117,1.85843671425146,0.7681027018396758,84.9985,49.91401631861439,2088.7376106598836
0.02,1,0,0,13.808094962858167,59.973175926141955,24.629101572625355,24.835442101661602,1029.803058358351,1038.4306612466753,497454.16813097143,496135.7654885821,1.9833860433638355,0.7911076818405054,84.997,50.09363866992335,2094.5377221523363
0.03,1,0,0,13.807038181332574,59.99838529357916,25.801143096432614,24.783479117379144,1078.8915563560586,1036.3372761016963,495262.1563931826,500192.4425583337,2.0234365703479,0.7880198067812741,84.9955,50.118706029465,2095.746244597884
0.04,1,0,0,13.789819587487315,59.970190611933305,24.905235328193466,24.430916664267098,1042.7289660853007,1022.8702575240924,509134.2285241631,498183.9823074306,2.0118300895550503,0.8115868192548094,84.994,49.538228931221006,2074.0597530782647
0.05,1,0,0,13.792892402469056,59.98602820793516,24.658192008342095,25.228798640882356,1032.1557928775937,1056.0405505691374,502367.031619061,505009.8244055418,1.683601011679348,0.7907894507559898,84.9925,49.5697601710164,2074.917540375971
0.06,1,0,0,13.812002543447026,60.00475508436996,24.647788997999047,25.64551231111983,1030.292860731866,1071.9983137677364,500661.951341804,511807.49606274214,1.5472889754911696,0.8168349246548231,84.991,49.63848617253643,2074.9194958320013
0.07,1,0,0,13.836241756172829,59.99777478205876,24.799736478372466,24.81541570158185,1034.8282997608299,1035.4825528376512,499273.3408575125,504158.862997024,1.8062556981366205,0.8040818896590224,84.9895,49.98217442667389,2085.6257333787044
0.08,1,0,0,13.824136371626187,60.0066903877099,25.3100350572932,25.97677512303364,1057.0465424168945,1084.8922281137486,503065.7214669756,504491.91121243476,2.011741895896364,0.8113479782437882,84.988,50.30855175638116,2101.082853805075
0.09,1,0,0,13.777417678877653,60.012006367920044,24.145544804419632,25.147378986581295,1011.8323416973938,1053.8147543842917,502904.5771790168,506423.40133825236,2.012637899640542,0.8225577111820717,84.9865,50.003147991619244,2095.4094320265863
