time_sec,bess_connected,lvrt_active,perturbation_active,load_power_mw,turbine1_power_mw,turbine2_power_mw,turbine1_torque_nm,turbine2_torque_nm,turbine1_current_a,turbine2_current_a,load_current_a,bess_power_mw,bess_voltage_kv,bess_soc_percent,bus_voltage_kv,bus_frequency_hz
0.0,1,0,0,49.98817144717908,24.756132722397993,24.9876748688301,494267.82925608754,505333.72083668946,1035.7217312587381,1045.4087544885438,2091.35393053087,1.9287901324003893,0.7854654406592354,85.0,13.8071371078501,60.00069094307911
0.01,1,0,0,50.46666916095941,25.325944344123933,24.731788118466007,507203.65793919086,491652.14614890574,1059.5609264174952,1034.7032266476187,2111.3728279118627,1.9449215899050933,0.7929127987793381,84.9995,13.809993656596527,60.004273080204804
0.02,1,0,0,50.12935020944315,24.725540359748866,25.066183768282578,493179.5498110679,497248.82259072585,1034.4418393159394,1048.6933294329401,2097.260423023408,1.7125303361088893,0.7996296458056206,84.999,13.798826313405831,60.00145756407163
0.03,1,0,0,49.83191118659725,24.594319352618527,24.798022950632834,488783.93189884094,493260.56477957097,1028.9519491862268,1037.4742917332162,2084.8164737547427,1.9706731638740012,0.8053973553459373,84.9985,13.787601874929148,60.001845865044274
0.04,1,0,0,50.21153003918085,24.86949279889012,24.20291848553302,496105.00301921123,475412.6059687457,1040.464374061498,1012.5769204925404,2100.6985785901484,1.9200847599603603,0.803022788367994,84.998,13.797594841008369,60.0008080049479
0.05,1,0,0,50.01163549989491,25.024938541610435,25.183760847647168,494407.79101453774,501486.90566204645,1046.9677538733786,1053.6123988837862,2092.3355955418674,1.808770767716296,0.8003963250561525,84.9975,13.790317753229504,60.00019942621005
0.06,1,0,0,49.86465684006205,25.58507306575088,25.179015901383714,508670.23283369635,511528.63200884266,1070.4020885324285,1053.4138846807068,2086.186452873778,1.9194250540216482,0.7933898348674576,84.997,13.80796980646504,60.00328263549768
0.07,1,0,0,50.18020770741501,24.69217357173155,24.86444398535937,487678.18530445616,493654.92725427664,1033.04587380552,1040.2531469708408,2099.388146946912,1.6124862047380089,0.8136729472468872,84.9965,13.785221716979962,59.99323928415222
0.08,1,0,0,50.29511827751465,25.55835432584026,25.136164555790177,511227.7597938707,495938.82270624785,1069.2842572512834,1051.6211139623326,2104.1956577135616,2.4351926255889937,0.7789083882801638,84.996,13.80340744944814,59.99977151368732
0.09,1,0,0,50.0431698660741,25.31443959947141,24.827987052777758,504330.9634925847,493919.5910296424,1059.0796026912565,1038.727899156361,2093.6548980637717,1.3146033976645088,0.811372354468241,84.9955,13.802015861587396,59.9977981571925
