time_sec,simulation,bess_connected,lvrt_active,perturbation_active,turbine1_torque_nm,turbine1_power_mw,turbine1_current_a,turbine2_torque_nm,turbine2_power_mw,turbine2_current_a,bess_power_mw,bess_voltage_kv,bess_soc_percent,bus_voltage_kv,bus_frequency_hz,load_power_mw,load_current_a
0.0,sim_Torsional,1,0,0,501241.7853825281,25.031044634563205,1047.2232143378699,501241.7853825281,25.031044634563205,1047.2232143378699,1.6657755925300737,0.811748140575857,85.0,13.844413256223143,59.9932862648054,49.009714016219796,2050.418230447179
0.01,sim_Torsional,1,0,0,509639.3504914492,25.240983762286227,1056.0064325918063,508640.84936701145,25.216021234175283,1054.9620759016245,1.810720749878663,0.7812101905524618,84.999,13.692172638004863,59.992862005338615,49.472507176531565,2069.7800968011734
0.02,sim_Torsional,1,0,0,501619.2213452517,25.040480533631293,1047.6179838209862,501619.2213452517,25.040480533631293,1047.6179838209862,1.7173819449277266,0.7967220494412254,84.998,13.895407180589114,60.01425405932373,49.706485796853705,2079.56905473071
0.03,sim_Torsional,1,0,0,493852.4735427243,24.84631183856811,1039.4945527801945,494847.9836525539,24.871199591313847,1040.5357810952144,1.8356012543776588,0.7995833997661866,84.997,13.718530086530865,60.0186441366386,50.074834455462344,2094.979648730952
0.04,sim_Torsional,1,0,0,499414.61656319164,24.98536541407979,1045.3121338855167,499414.61656319164,24.98536541407979,1045.3121338855167,1.9357549067866433,0.8001590865839964,84.996,13.90343859516743,59.990711175415896,50.51208116330344,2113.272728765324
0.05,sim_Torsional,1,0,0,509339.93815581844,25.233498453895457,1055.6932699240976,508347.4101009993,25.208685252524983,1054.6551606131775,2.251146345899415,0.8018049605607809,84.995,13.76217261639746,59.9933100556756,50.34706797168588,2106.3690758232774
0.06,sim_Torsional,1,0,0,503948.03203876846,25.09870080096921,1050.0537437499602,503948.03203876846,25.09870080096921,1050.0537437499602,1.9036522883882894,0.806104398198095,84.994,13.562495496663107,60.011425228195044,49.41033760077626,2067.1791097506134
0.07,sim_Torsional,1,0,0,492023.03749720333,24.800575937430082,1037.5811009806532,493012.5924297712,24.82531481074428,1038.6161006304649,1.5243122879691222,0.7996459256095465,84.993,13.664426558813632,60.00533519993142,49.81414386891717,2084.073142910875
0.08,sim_Torsional,1,0,0,498826.3140351626,24.970657850879068,1044.6968139164546,498826.3140351626,24.970657850879068,1044.6968139164546,2.342020353948548,0.7963194171785632,84.992,13.740602770201155,60.00676428105321,50.03818779435128,2093.4464632485333
0.09,sim_Torsional,1,0,0,511222.30727214226,25.280557681803558,1057.662085713996,510235.71655582456,25.255892913895618,1056.6301864102898,1.7488729599154882,0.7959241065534031,84.991,13.988810085277304,60.008966012948534,49.86889643777675,2086.363824821737
0.1,sim_Torsional,1,0,0,498841.45576796884,24.97103639419922,1044.7126510242654,498841.45576796884,24.97103639419922,1044.7126510242654,1.9823838718686113,0.7938848419796165,84.99,13.924357821013034,59.99759267838256,49.865352387065855,2086.215552457103
0.11,sim_Torsional,1,0,0,488999.3218221676,24.72498304555419,1034.4185229753366,489982.9572015583,24.749573930038956,1035.4473312200387,2.1339609520822136,0.8078754332432687,84.989,14.024092874900456,60.0032996992499,49.13862833767286,2055.811615823507
0.12,sim_Torsional,1,0,0,500604.9056789151,25.015122641972876,1046.5570863155467,500604.9056789151,25.015122641972876,1046.5570863155467,2.0598831255208347,0.7935347152052349,84.988,14.02820165981212,60.00252192150698,49.42363292443018,2067.7353458876096
